,open,high,low,close,volume
2023-02-18 09:00:00,9.6,9.6,9.09,9.35,602183925.030569
2023-02-19 09:00:00,9.34,9.55,9.18,9.35,496591320.8768795
2023-02-20 09:00:00,9.35,9.45,8.99,9.34,608393966.6563741
2023-02-21 09:00:00,9.35,9.37,9.06,9.17,437031291.19723684
2023-02-22 09:00:00,9.17,9.5,9.07,9.38,1385873918.9504702
2023-02-23 09:00:00,9.38,9.44,9.15,9.36,420629326.1213229
2023-02-24 09:00:00,9.37,9.66,9.25,9.58,774528840.1649768
2023-02-25 09:00:00,9.58,9.59,9.0,9.28,388922141.5453865
2023-02-26 09:00:00,9.28,9.42,9.1,9.29,251838566.22098446
2023-02-27 09:00:00,9.26,9.33,9.07,9.22,168567950.2236056
2023-02-28 09:00:00,9.23,9.23,9.12,9.19,108764312.28202613
2023-03-01 09:00:00,9.2,9.23,9.06,9.21,138687279.49427053
2023-03-02 09:00:00,9.21,9.21,8.72,8.96,225315534.03246766
2023-03-03 09:00:00,8.98,8.98,8.18,8.46,203248768.39059857
2023-03-04 09:00:00,8.46,8.66,8.38,8.5,92786377.81775457
2023-03-05 09:00:00,8.51,9.25,8.38,8.45,938642165.4738923
2023-03-06 09:00:00,8.45,8.58,7.94,8.45,352035441.70681024
2023-03-07 09:00:00,8.45,8.69,8.2,8.69,205322381.34406772
2023-03-08 09:00:00,8.72,8.76,8.3,8.36,130037291.64258313
2023-03-09 09:00:00,8.36,8.38,7.99,8.1,116365576.64185934
2023-03-10 09:00:00,8.1,10.1,7.73,8.39,12965137791.986322
2023-03-11 09:00:00,8.39,8.44,7.75,7.93,1537508981.4602845
2023-03-12 09:00:00,7.93,8.05,7.34,8.04,927290397.1609377
2023-03-13 09:00:00,8.04,8.59,7.74,8.56,1255462523.200905
2023-03-14 09:00:00,8.56,8.89,8.16,8.79,1128138239.6734607
2023-03-15 09:00:00,8.79,9.88,8.3,8.93,5459572061.547324
2023-03-16 09:00:00,8.93,8.95,8.44,8.93,572378093.1093842
2023-03-17 09:00:00,8.89,9.25,8.74,9.23,619587095.5266206
2023-03-18 09:00:00,9.23,9.25,8.81,8.94,440269689.81951714
2023-03-19 09:00:00,8.94,9.04,8.81,9.01,243529212.02511072
2023-03-20 09:00:00,9.01,9.02,8.73,8.74,223797365.48792693
2023-03-21 09:00:00,8.74,8.85,8.26,8.78,378893097.57915246
2023-03-22 09:00:00,8.8,8.8,8.4,8.5,148326484.33479628
2023-03-23 09:00:00,8.49,8.67,8.32,8.64,153020491.65141863
2023-03-24 09:00:00,8.64,8.67,8.5,8.55,103625279.04358077
2023-03-25 09:00:00,8.55,8.8,8.47,8.66,278010762.0318362
2023-03-26 09:00:00,8.66,8.7,8.51,8.61,82438591.61716416
2023-03-27 09:00:00,8.59,8.63,7.93,8.1,203781786.84789786
2023-03-28 09:00:00,8.1,8.23,7.86,8.21,126009188.58289976
2023-03-29 09:00:00,8.24,8.53,8.19,8.49,166036264.32425186
2023-03-30 09:00:00,8.49,8.56,8.33,8.43,157778112.1862699
2023-03-31 09:00:00,8.42,8.91,8.32,8.69,740839542.5823487
2023-04-01 09:00:00,8.69,10.2,8.63,8.97,5862259874.308364
2023-04-02 09:00:00,8.96,8.96,8.55,8.59,492541446.018313
2023-04-03 09:00:00,8.58,8.85,8.41,8.5,325557920.71231467
2023-04-04 09:00:00,8.5,8.78,8.47,8.64,321066090.6994096
2023-04-05 09:00:00,8.64,9.11,8.64,9.07,574548421.8756037
2023-04-06 09:00:00,9.08,9.54,8.8,8.97,847452715.3024383
2023-04-07 09:00:00,8.96,9.01,8.59,8.81,213367127.9422577
2023-04-08 09:00:00,8.81,9.34,8.71,9.0,1084421714.3582013
2023-04-09 09:00:00,9.0,9.02,8.73,8.96,230426253.0049219
2023-04-10 09:00:00,8.95,9.03,8.7,9.01,180030304.66951054
2023-04-11 09:00:00,9.01,9.08,8.87,8.99,196355041.8295689
2023-04-12 09:00:00,8.99,9.45,8.88,9.1,2262678805.4078135
2023-04-13 09:00:00,9.07,9.44,8.94,9.14,864153530.8896084
2023-04-14 09:00:00,9.13,9.35,9.0,9.32,404025127.99905336
2023-04-15 09:00:00,9.33,9.47,9.16,9.27,216308438.40142304
2023-04-16 09:00:00,9.26,9.3,9.15,9.21,129380747.8585554
2023-04-17 09:00:00,9.2,9.21,8.91,8.97,259080390.8248632
2023-04-18 09:00:00,8.97,9.14,8.92,9.05,192449046.4855534
2023-04-19 09:00:00,9.05,9.08,8.62,8.74,197030778.8403425
2023-04-20 09:00:00,8.74,9.24,8.54,8.76,902031199.87896
2023-04-21 09:00:00,8.76,9.19,8.59,9.12,1013499959.0479856
2023-04-22 09:00:00,9.11,9.4,8.76,9.03,558216945.3368862
2023-04-23 09:00:00,9.02,9.03,8.8,8.82,108496610.80623443
2023-04-24 09:00:00,8.83,8.96,8.37,8.63,355135342.3265209
2023-04-25 09:00:00,8.61,8.88,8.34,8.87,986967946.164588
2023-04-26 09:00:00,8.87,9.51,8.62,8.77,2262571652.136274
2023-04-27 09:00:00,8.73,8.81,8.55,8.76,198230652.62964526
2023-04-28 09:00:00,8.76,9.12,8.58,8.82,783193097.7548823
2023-04-29 09:00:00,8.82,10.1,8.82,8.88,6840714972.346078
2023-04-30 09:00:00,8.85,9.01,8.54,8.6,697124558.7033906
2023-05-01 09:00:00,8.59,8.63,8.3,8.33,280759463.04849666
2023-05-02 09:00:00,8.33,8.36,8.14,8.25,196012124.79376942
2023-05-03 09:00:00,8.23,8.65,8.09,8.31,738455647.450131
2023-05-04 09:00:00,8.28,8.36,8.1,8.27,135317767.48686713
2023-05-05 09:00:00,8.27,8.5,8.23,8.33,305188086.5745406
2023-05-06 09:00:00,8.32,8.47,8.06,8.17,293239369.6448299
2023-05-07 09:00:00,8.16,8.53,8.13,8.18,853876685.7788028
2023-05-08 09:00:00,8.17,8.43,7.56,7.67,606807120.4574263
2023-05-09 09:00:00,7.67,8.28,7.57,7.79,669430237.9108452
2023-05-10 09:00:00,7.79,7.88,7.65,7.8,127590817.13382037
2023-05-11 09:00:00,7.8,8.0,7.58,7.66,208701014.6355019
2023-05-12 09:00:00,7.65,7.7,7.32,7.67,110928641.74279065
2023-05-13 09:00:00,7.65,7.9,7.62,7.78,204694567.8799766
2023-05-14 09:00:00,7.78,7.79,7.72,7.72,48733680.61169974
2023-05-15 09:00:00,7.72,7.86,7.62,7.7,153094562.58365712
2023-05-16 09:00:00,7.7,8.0,7.67,7.72,276853887.3029025
2023-05-17 09:00:00,7.72,7.78,7.66,7.77,73906569.38426375
2023-05-18 09:00:00,7.76,7.78,7.67,7.69,61621087.67822567
2023-05-19 09:00:00,7.69,7.96,7.66,7.73,296411243.7832027
2023-05-20 09:00:00,7.71,7.74,7.69,7.71,25452096.50384164
2023-05-21 09:00:00,7.72,7.82,7.5,7.52,130950278.17623076
2023-05-22 09:00:00,7.52,7.52,7.31,7.43,80722368.03441426
2023-05-23 09:00:00,7.43,7.5,7.38,7.4,61704718.82775071
2023-05-24 09:00:00,7.4,7.42,7.01,7.12,100702463.73803645
2023-05-25 09:00:00,7.12,7.13,6.73,6.91,301065889.2489035
2023-05-26 09:00:00,6.9,6.96,6.76,6.92,81767305.18873094
2023-05-27 09:00:00,6.93,6.96,6.86,6.92,29081787.03732683
2023-05-28 09:00:00,6.92,7.1,6.87,7.07,74158591.94321543
2023-05-29 09:00:00,7.07,7.1,6.97,6.99,71684185.36708935
2023-05-30 09:00:00,7.01,7.14,6.93,6.97,274756973.58400434
2023-05-31 09:00:00,6.96,7.05,6.75,6.83,117497352.19239885
2023-06-01 09:00:00,6.84,7.3,6.68,6.73,850380284.3489264
2023-06-02 09:00:00,6.73,6.83,6.66,6.77,80639695.87312065
2023-06-03 09:00:00,6.76,6.99,6.74,6.81,166722670.33989742
2023-06-04 09:00:00,6.81,6.91,6.79,6.82,70789518.91506363
2023-06-05 09:00:00,6.82,6.87,6.29,6.5,164930985.55414784
2023-06-06 09:00:00,6.51,6.67,6.28,6.6,204585666.4569439
2023-06-07 09:00:00,6.6,6.62,6.33,6.4,69902688.00963956
2023-06-08 09:00:00,6.39,6.46,6.31,6.41,40364134.93617864
2023-06-09 09:00:00,6.41,7.15,6.38,6.68,1676839829.3391829
2023-06-10 09:00:00,6.68,6.93,5.81,6.2,1160157915.7832625
2023-06-11 09:00:00,6.2,6.22,6.01,6.15,142736352.9105232
2023-06-12 09:00:00,6.15,6.32,5.89,6.05,296740428.63236725
2023-06-13 09:00:00,6.04,6.1,5.97,6.03,65856384.20042543
2023-06-14 09:00:00,6.02,6.04,5.7,5.82,117415030.76374634
2023-06-15 09:00:00,5.79,5.94,5.61,5.93,161849807.88808408
2023-06-16 09:00:00,5.9,6.02,5.81,6.01,127396464.32964972
2023-06-17 09:00:00,5.97,6.1,5.96,6.08,64456201.47785467
2023-06-18 09:00:00,6.05,6.09,6.0,6.03,38073200.43698028
2023-06-19 09:00:00,6.01,6.07,5.93,6.04,42341400.02997076
2023-06-20 09:00:00,6.04,6.13,5.87,6.1,92316542.03644367
2023-06-21 09:00:00,6.1,6.37,6.08,6.32,169320154.46841344
2023-06-22 09:00:00,6.3,6.53,6.25,6.46,171093558.40861908
2023-06-23 09:00:00,6.46,6.74,6.36,6.74,239246334.38612124
2023-06-24 09:00:00,6.73,7.01,6.65,6.86,251444784.51831993
2023-06-25 09:00:00,6.86,7.08,6.7,6.81,219077165.05226156
2023-06-26 09:00:00,6.86,7.14,6.54,6.66,600182985.4131801
2023-06-27 09:00:00,6.64,7.03,6.56,6.74,377535320.3955679
2023-06-28 09:00:00,6.71,6.77,6.35,6.39,92740573.66725612
2023-06-29 09:00:00,6.39,6.79,6.36,6.58,282445958.93994457
2023-06-30 09:00:00,6.58,6.75,6.38,6.7,207418947.7001359
2023-07-01 09:00:00,6.71,6.84,6.48,6.76,199041322.70810118
2023-07-02 09:00:00,6.76,7.66,6.69,6.82,3888843161.940048
2023-07-03 09:00:00,6.81,6.83,6.63,6.74,283870311.3233961
2023-07-04 09:00:00,6.73,7.39,6.66,6.9,2566819115.4204698
2023-07-05 09:00:00,6.89,7.85,6.78,6.98,3556419422.249928
2023-07-06 09:00:00,6.99,7.39,6.68,6.77,903774403.6366355
2023-07-07 09:00:00,6.77,6.79,6.62,6.7,124981251.16648656
2023-07-08 09:00:00,6.7,6.73,6.59,6.67,122515909.24421327
2023-07-09 09:00:00,6.67,6.88,6.62,6.73,484701240.5807402
2023-07-10 09:00:00,6.76,6.98,6.58,6.84,386322778.4709121
2023-07-11 09:00:00,6.83,7.55,6.8,7.17,2665508282.2061753
2023-07-12 09:00:00,7.18,7.18,6.95,7.01,199598309.6165429
2023-07-13 09:00:00,7.01,8.2,6.5,6.73,7078678187.993022
2023-07-14 09:00:00,6.73,7.27,6.66,6.91,1620522923.7791507
2023-07-15 09:00:00,6.92,7.09,6.77,7.03,306728835.593807
2023-07-16 09:00:00,7.02,7.3,6.91,7.03,479918011.60715973
2023-07-17 09:00:00,7.03,7.2,6.87,6.97,239998166.52837032
2023-07-18 09:00:00,6.97,7.03,6.76,6.88,160627707.8231077
2023-07-19 09:00:00,6.87,6.97,6.8,6.95,163826192.69406945
2023-07-20 09:00:00,6.96,6.99,6.83,6.94,99211264.213333
2023-07-21 09:00:00,6.93,7.13,6.89,7.09,230210279.38390955
2023-07-22 09:00:00,7.09,7.43,7.0,7.33,350762297.57159334
2023-07-23 09:00:00,7.34,8.12,7.23,8.07,1689012067.9796226
2023-07-24 09:00:00,8.07,8.38,7.4,8.24,1920149442.3944228
2023-07-25 09:00:00,8.24,11.8,7.75,10.1,15359255883.664652
2023-07-26 09:00:00,10.1,10.2,8.63,9.1,5378411168.413364
2023-07-27 09:00:00,9.1,9.4,8.47,8.91,1619574454.594342
2023-07-28 09:00:00,8.89,16.8,8.78,15.7,24869096468.06131
2023-07-29 09:00:00,15.6,25.1,14.5,24.0,20552341346.694557
2023-07-30 09:00:00,23.9,31.7,20.7,24.6,16726229417.228231
2023-07-31 09:00:00,24.6,27.6,22.2,25.2,6595197406.737866
2023-08-01 09:00:00,25.1,26.4,22.6,23.6,3347492455.274629
2023-08-02 09:00:00,23.6,24.1,19.8,20.6,1830706974.8551545
2023-08-03 09:00:00,20.5,30.2,18.5,30.1,10956772128.0832
2023-08-04 09:00:00,30.0,43.5,17.5,20.0,32968018468.385662
2023-08-05 09:00:00,20.1,21.0,18.0,18.8,8386014257.317679
2023-08-06 09:00:00,18.8,20.0,18.2,18.6,4748345601.65163
2023-08-07 09:00:00,18.6,19.2,15.9,17.1,3236352206.8647456
2023-08-08 09:00:00,17.1,17.7,15.5,16.4,1890646753.3821874
2023-08-09 09:00:00,16.4,16.7,15.8,16.2,1341011520.4014516
2023-08-10 09:00:00,16.2,16.2,14.9,15.6,1060483205.3127232
2023-08-11 09:00:00,15.6,17.5,15.5,17.4,4772583261.81385
2023-08-12 09:00:00,17.3,17.4,16.3,16.5,1771113408.4219522
2023-08-13 09:00:00,16.5,16.9,16.0,16.1,1261974700.6773436
2023-08-14 09:00:00,16.1,16.5,15.6,16.0,839082081.2879285
2023-08-15 09:00:00,16.0,16.2,15.0,15.3,798340721.0378563
2023-08-16 09:00:00,15.3,15.5,12.5,12.9,3519315264.6335893
2023-08-17 09:00:00,12.9,13.0,10.7,11.2,2184089993.0274143
2023-08-18 09:00:00,11.2,13.8,10.9,12.8,6594916403.418533
2023-08-19 09:00:00,12.8,13.7,12.4,12.8,3503482805.2755613
2023-08-20 09:00:00,12.9,13.3,11.9,12.1,1723033666.6538641
2023-08-21 09:00:00,12.1,12.4,11.5,11.9,877691022.0330113
2023-08-22 09:00:00,11.8,11.9,11.1,11.4,533132823.2621241
2023-08-23 09:00:00,11.4,11.6,11.0,11.6,409030475.08324164
2023-08-24 09:00:00,11.5,12.1,11.4,11.8,1330231656.0648384
2023-08-25 09:00:00,11.8,11.9,11.0,11.3,627872587.9355996
2023-08-26 09:00:00,11.4,11.7,11.2,11.4,407340819.1532308
2023-08-27 09:00:00,11.4,12.2,11.4,11.8,1422152061.0632513
2023-08-28 09:00:00,11.8,11.9,11.1,11.4,580353982.8729889
2023-08-29 09:00:00,11.4,12.0,8.52,8.69,8213638026.210493
2023-08-30 09:00:00,8.68,8.77,7.8,8.0,4421175435.071237
2023-08-31 09:00:00,8.0,8.49,7.71,7.93,4009608538.4069905
2023-09-01 09:00:00,7.93,7.99,7.12,7.34,1675462533.6432655
2023-09-02 09:00:00,7.34,7.54,6.61,6.9,2403670549.1252694
2023-09-03 09:00:00,6.9,6.95,6.35,6.5,2076308192.4872591
2023-09-04 09:00:00,6.5,8.42,6.44,8.23,15156296313.086409
2023-09-05 09:00:00,8.23,8.32,7.42,7.8,3087080576.660051
